E46G064094,1,2,2,2,3,3,4
E47G074004,1,1,2,3,4,5,6
E47G081011,1,0,0,0,0,0,0
E46G081091,1,2,2,3,3,4,5
E46G073094,1,2,2,3,4,5,6
E47G065001,1,2,2,3,4,5,6
E47G077010,1,1,1,1,2,2,3
E47G078011,1,1,1,1,2,2,3
E46G079091,1,2,2,3,0,4,5
E46G093092,1,0,0,0,0,0,0
E47G075009,1,1,2,2,3,4,5
E47G071004,1,1,2,3,4,5,6
E47G077007,1,2,3,4,5,6,7
E47G085002,1,2,3,4,5,6,7
E46G064087,1,0,0,0,0,0,0
E46G072093,1,2,2,3,4,5,6
E46G058094,1,1,1,1,2,2,3
E47G077003,1,2,3,4,5,6,7
E47G060004,1,2,2,3,4,5,6
E46G076088,1,2,2,3,4,4,5
E47G082002,1,2,3,4,5,6,7
E46G067091,1,2,2,3,4,4,5
E46G070085,1,1,1,1,2,2,3
E47G074002,1,1,2,3,4,5,6
E46G068092,1,2,2,3,4,4,5
E46G068093,1,2,2,2,3,3,4
E47G083002,1,2,3,4,5,6,7
E46G068086,1,1,1,1,2,2,3
E46G065093,1,2,2,2,3,3,4
E47G061008,1,2,2,3,4,5,6
E46G069091,1,2,2,3,4,4,5
E47G065010,1,1,2,3,4,5,6
E47G059005,1,1,1,1,2,2,3
E46G092091,1,2,2,3,4,4,5
E46G071093,1,2,2,2,3,3,4
E46G079093,1,2,2,3,0,4,5
E47G087004,1,0,0,0,0,0,0
E47G073012,1,2,2,2,3,3,4
E46G058093,1,1,1,1,2,2,3
E47G065007,1,1,2,3,4,5,6
E47G075001,1,1,2,3,4,5,6
E46G088088,1,2,2,3,3,3,4
E47G066005,1,1,2,3,4,5,6
E46G093089,1,2,2,3,3,3,4
E46G074094,1,2,2,3,4,5,6
E47G080008,1,2,2,2,3,4,5
E47G088001,1,2,3,4,5,5,6
E46G062089,1,2,2,3,4,4,5
E46G065090,1,2,2,3,4,4,5
E47G074007,1,2,3,4,5,6,7
E47G070004,1,1,2,3,4,5,6
E46G066091,1,2,2,3,4,4,5
E46G071086,1,1,1,1,2,2,3
E46G087091,1,2,2,3,3,3,4
E47G072012,1,2,2,2,3,3,4
E46G067088,1,2,2,2,3,3,4
E46G067093,1,2,2,2,3,3,4
E46G080095,1,2,2,3,0,4,5
E47G065006,1,1,2,3,4,5,6
E47G075005,1,2,3,4,5,6,7
E46G087092,1,2,2,3,3,3,4
E47G061005,1,2,2,3,4,5,6
E47G061001,1,2,2,3,4,5,6
E47G080003,1,2,3,4,5,6,7
E46G072088,1,2,2,3,4,4,5
E46G075096,1,1,2,3,4,5,6
E47G087002,1,1,2,3,4,4,5
E46G091096,1,0,0,0,0,0,0
E46G092095,1,0,0,0,0,0,0
E47G068006,1,1,2,3,4,5,6
E46G072090,1,2,2,3,4,4,5
E47G078010,1,1,1,1,2,2,3
E47G082007,1,2,2,2,3,4,5
E47G064002,1,2,2,3,4,5,6
E46G077092,1,2,2,3,3,4,5
E46G079095,1,2,2,3,0,4,5
E47G078007,1,1,2,3,4,5,6
E46G063095,1,2,2,2,3,3,4
E47G083005,1,1,1,1,2,3,4
E47G077013,1,0,0,0,0,0,0
E46G063096,1,2,2,3,4,5,6
